123964,  136837
36139, 58873
158553, 166782
153778, 153792
165810, 165882
80945, 105718
69394, 96357
61806, 84140
48100, 124778
49385, 99837
481, 101578
13887, 101328
32270, 73447
128127, 167677
140155, 148738
144078, 150472
8875, 35907
70602, 132847
49994, 67259
68046, 96689
169187, 173570
19480, 23572
40493, 137288
60604, 100123
35006, 80806
55419, 71877
86808, 106591
82339, 110976
43524, 50675
116707, 116757
32638, 49996
137149, 145263
43941, 128159
7158, 33079
4658, 27476
63886, 172192
35499, 43935
12454, 80320
116282, 116284
139341, 139380
82485, 110924
78772, 93633
4658, 112409
27008, 35044
33086, 59772
77711, 85567
33914, 60666
142995, 152392
52735, 73070
40954, 150447
35569, 50133
33479, 33519
26951, 33414
41725, 47174
49597, 86251
29451, 67485
26, 33328
71313, 93525
143626, 174509
37216, 46016
15292, 38240
85671, 99704
63398, 96695
121928, 139413
134037, 167672
139784, 144917
60696, 133807
127819, 154588
15842, 32243
135945, 146389
138981, 143510
63435, 67963
69859, 75112
41716, 87588
21829, 108567
72334, 101665
18830, 44560
27298, 36317
33871, 65775
67655, 80061
98335, 98360
157799, 172711
91420, 91492
98501, 129041
15405, 15417
47253, 73684
56860, 65843
12364, 43969
162786, 162818
82426, 96332
59357, 96428
108695, 123831
63775, 97251
10735, 165096
144250, 174502
126933, 138559
97579, 135103
163553, 169870
31321, 34275
166745, 172448
161282, 170778
155205, 160405
154694, 174514
72239, 75927
96865, 96896
10857, 19521
31262, 41547
31162, 74318
162017, 169027
72112, 138880
79741, 91929
53013, 59873
117550, 117562
129114, 140446
152172, 156536
42664, 53392
39946, 39978
128218, 167599
90626, 90685
117591, 139627
163340, 169001
55566, 102483
151668, 159453
14589, 23846
45987, 47712
108363, 161423
102175, 107561
108260, 108264
19535, 83044
40428, 48237
115417, 134650
140273, 140355
26026, 153949
101028, 101096
107360, 107401
14984, 58553
116177, 139921
36876, 53557
22423, 110073
75719, 148243
38901, 47542
161801, 161817
54957, 71849
76496, 81321
91263, 134683
57549, 71493
64687, 73443
27100, 100135
26020, 36250
48292, 48343
4497, 4578
133900, 156295
58677, 58692
4141, 4188
43520, 64067
137255, 153947
149467, 149570
31857, 74377
120268, 130072
114174, 126230
49997, 60303
13266, 25363
54338, 56882
64549, 137909
134380, 134440
55498, 78727
48184, 110047
23238, 30370
31876, 150401
139000, 139015
134038, 142246
119249, 119328
44016, 131500
69596, 94308
2006, 100071
142972, 168539
59115, 165468
166755, 169356
85644, 109351
80403, 96389
139734, 155613
153035, 165755
138154, 138255
65407, 112345
107459, 145126
48841, 87849
112924, 129059
41903, 53250
57051, 61530
92730, 114634
67845, 104748
118708, 130922
81373, 101013
123980, 137758
137622, 137656
60659, 128522
86907, 105979
53997, 62078
2591, 24633
110290, 161467
27827, 53046
151227, 166716
153232, 153293
46455, 74389
93854, 114171
59140, 167674
31375, 62245
134372, 153619
141632, 159705
150416, 167568
124662, 137583
64916, 94826
43678, 57669
137573, 155234
25011, 87722
65296, 65303
112330, 117439
135458, 170425
89983, 100119
8978, 57635
104713, 141722
37206, 69600
148835, 161670
61406, 63451
140476, 149309
1001, 5755
74354, 144107
21733, 48891
164748, 164773
49479, 49492
1524, 22061
75167, 106898
36759, 52172
9687, 165150
27636, 55140
136929, 146626
102379, 109218
171906, 171911
54995, 76121
153690, 153690
69351, 87548
83033, 112610
128274, 142962
32299, 37644
44233, 56510
53928, 64705
152484, 162103
102313, 115847
17410, 44829
8931, 35955
32256, 86682
28046, 39867
126183, 135105
8776, 46436
126691, 126724
45560, 93244
34714, 49304
95936, 117023
33408, 43697
94593, 104538
34538, 69076
140515, 163304
115834, 138682
84903, 84909
21658, 64360
22774, 28366
154936, 167622
31878, 74332
70165, 75497
115380, 131372
57383, 64330
26162, 38443
116446, 136329
39310, 48728
34353, 47287
44163, 61579
94837, 106644
16354, 54193
5791, 31153
157743, 157776
81806, 103997
950, 13139
27146, 48154
36900, 48296
155418, 173869
97577, 114165
102339, 114669
40431, 74323
40477, 54195
136979, 155240
135935, 169398
113687, 113735
110103, 144074
29643, 33580
91287, 130005
132397, 171587
69491, 69516
60676, 60744
37009, 106555
122608, 172903
70710, 95174
21839, 110969
70456, 100927
62507, 96370
71414, 100335
117734, 135693
149333, 149382
24769, 49318
90058, 90144
15206, 49114
34722, 47493
2755, 170137
